rank,company,contact_name,email,vertical,email_verification_status,lead_score,priority,personalization_angle,message_subject,recommended_send_date,backup_channel
1,Banyan Air Service (Aircraft Sales),Michael O'Keeffe,mokeeffe@banyanair.com,aircraft_broker,likely_valid,5,5,"Southeast HondaJet authorized sales & service center; King Air, Citation, Phenom brokerage out of busiest GA airport in FL. SVP is type-rated KA 300/350, Citation 500, HondaJet.",quick aircraft broker question,2026-05-30,phone +19544913170 / LinkedIn / contact form
2,Cutter Aviation Aircraft Sales,"Aircraft Sales (Annie Ritter, Sales Admin)",aircraftsales@cutteraviation.com,aircraft_broker,likely_valid,5,5,Founded 1928. Authorized new-aircraft dealer for Pilatus PC-12/PC-24 and Piper M-class turboprops across the Southwest.,routed buyers for your specialty,2026-05-30,phone +16022674082 / LinkedIn / contact form
3,"Mente Group, LLC",Brian Proctor,brian@mentegroup.com,aircraft_broker,likely_valid,5,5,$500M+/year business-jet brokerage and consultancy; Citation/Phenom/Challenger/Gulfstream specialist. Former NARA president. $8B+ in transactions.,quick aircraft broker question,2026-05-30,phone +12143519595 / LinkedIn / contact form
4,Muncie Aviation Company,TBM Sales Team,sales@muncieaviation.com,aircraft_broker,likely_valid,5,5,Established 1932. World's oldest Piper dealer; authorized Daher TBM dealer (21 TBMs sold in 2025). Employee-owned.,routed buyers for your specialty,2026-05-30,phone +18002897141 / LinkedIn / contact form
5,"Pollard Aircraft Sales, Inc.",Tim Pollard,sales@pollardaircraft.com,aircraft_broker,likely_valid,5,5,King Air and Citation specialist since 1992 (toll-free 888-KING-AIR). 900+ transactions; founder still active.,routed buyers for your specialty,2026-05-30,phone +18176267000 / LinkedIn / contact form
6,Premier Aircraft Sales,Travis Peffer,sales@flypas.com,aircraft_broker,likely_valid,5,5,"Largest US Diamond Aircraft dealer (2,200+ sales). Also brokers Cirrus, Cessna, Piper, Mooney, Beechcraft and turboprops (TBM, Pilatus, King Air).",routed buyers for your specialty,2026-05-30,phone +19547710411 / LinkedIn / contact form
7,"Van Bortel Aircraft, Inc.",Aircraft Sales Team,acsales@vanbortel.com,aircraft_broker,likely_valid,5,5,Pre-owned Cessna single-engine specialist (172/Skylane/Stationair); 100% money-back guarantee. Also Beechcraft TTx and Cardinal 177B.,routed buyers for your specialty,2026-05-30,phone +18174687788 / LinkedIn / contact form
8,Aero Center Atlanta (formerly Epps Aviation),Scott Ordway,scott.ordway@aerocenters.com,ap_mechanic,likely_valid,5,5,Legacy Epps Aviation operation (since 1965) at Atlanta's busiest GA airport KPDK. Full FBO+MRO. High jet & turboprop pre-buy demand from Atlanta metro corporate fleet.,aircraft owners looking for shops,2026-05-30,phone +14707678208 / LinkedIn / contact form
9,Clear Star Aviation,Clear Star Aviation Service Desk,info@clearstarmx.com,ap_mechanic,likely_valid,5,5,Cirrus Platinum Partner & Authorized Service Center since 2007. Cirrus/Cessna/Beech/Mooney/Piper coverage in DFW. Heavy Cirrus SR/SF50 pre-buy pipeline.,aircraft owners looking for shops,2026-05-30,phone +19722672376 / LinkedIn / contact form
10,Haggan Aviation,"Eugene ""Geno"" Haggan",Services@HagganAviation.com,ap_mechanic,likely_valid,5,5,"Owner-operator FAA Part 145 since 1996; 40,000 sq ft heated hangar at KAPA. Citation/Learjet/Falcon focus. Garmin & Starlink authorized.",aircraft owners looking for shops,2026-05-30,phone +13037920688 / LinkedIn / contact form
11,Naples Jet Center,Dave Stetson,dstetson@naplesjetcenter.com,ap_mechanic,likely_valid,5,5,"Embraer Authorized Phenom 100/300 Service Center, Twin Commander SC, Garmin dealer, Part 145. Strong jet/turboprop pre-buy authority at KAPF.",aircraft owners looking for shops,2026-05-31,phone +12396497900 / LinkedIn / contact form
12,Atlanta Boat Broker,Zane Stevenson,zane@atlantaboatbroker.com,boat_dealer,likely_valid,5,5,Independent owner-broker on Lake Lanier GA — Atlanta metro's largest recreational lake; owner-direct line published.,a feed for lake buyers,2026-05-31,phone +14172244598 / LinkedIn / contact form
13,Erwin Marine Sales,"Louis ""Kayo"" Erwin",dunderwood@erwinmarinesales.com,boat_dealer,likely_valid,5,5,"Family-owned since 1978. Operates Chickamauga Marina, Gold Point Yacht Harbor, Pine Harbor, Sunrise Marina across TN River.",your inventory at erwin marine sales,2026-05-31,phone +14236221978 / LinkedIn / contact form
14,Lake Hartwell Marine,Jason Thomas,Jason@lakehartwellmarine.com,boat_dealer,likely_valid,5,5,Founded Oct 2011 by Jason Thomas; partnered with Jeremy Dawkins (Lincolnton Marine) in 2020 to expand new boat sales on Lake Hartwell.,a feed for lake buyers,2026-05-31,phone +17063564743 / LinkedIn / contact form
